name	bmi
George Washington	22.45665714
John Adams	23.54052664
Thomas Jefferson	22.0926798
James Madison	17.07055139
James Monroe	25.59660597
John Quincy Adams	26.98856452
Andrew Jackson	18.55270919
Martin Van Buren	Unknown
William Henry Harrison	21.06421856
John Tyler	Unknown
James K. Polk	26.36815848
Zachary Taylor	25.76199392
Millard Fillmore	24.28793036
Franklin Pierce	20.61319187
James Buchanan	26.81549196
Abraham Lincoln	21.91697667
Andrew Johnson	24.90760684
Ulysses S. Grant	23.64041795
Rutherford B. Hayes	25.46672995
James A. Garfield	24.91944708
Chester A. Arthur	30.33671818
Grover Cleveland	36.39578543
Benjamin Harrison	Unknown
Grover Cleveland ... again	36.39578543
William McKinley	31.23043201
Theodore Roosevelt	30.06090481
William Howard Taft	43.2680243
Woodrow Wilson	23.79724432
Warren G. Harding	23.42969752
Calvin Coolidge	21.18578053
Herbert Hoover	25.60481185
Franklin D. Roosevelt	24.12486596
Harry S. Truman	24.73222177
Dwight D. Eisenhower	24.20543025
John F. Kennedy	23.42969752
Lyndon B. Johnson	24.3521963
Richard Nixon	23.96172232
Gerald Ford	25.73203774
Jimmy Carter	23.16307472
Ronald Reagan	24.51608
George H. W. Bush	25.151456
Bill Clinton	28.61619739
George W. Bush	26.15250836
Barack Obama	23.85348324
